epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
70,76573.7,0.06751,0.98793,1,0.03776,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,76712.5,0.06735,0.98835,1,0.03748,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,76850.1,0.06764,0.98835,1,0.03752,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,76990.7,0.06574,0.98857,1,0.0372,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,77125.1,0.06881,0.98857,1,0.0371,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,77266.5,0.06576,0.98857,1,0.03667,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,77405,0.06537,0.98825,1,0.03659,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,77543.1,0.06692,0.98835,1,0.03625,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,77680.2,0.06488,0.98835,1,0.03608,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,77807.3,0.06392,0.98867,1,0.03605,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,77919.6,0.05921,0.98867,1,0.03586,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,78030,0.05857,0.98857,1,0.0354,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,78149.2,0.06241,0.98857,1,0.03529,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,78279.5,0.06289,0.98846,1,0.03492,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,78419.8,0.05987,0.98867,1,0.03467,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,78557.7,0.05813,0.98888,1,0.03458,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,78697,0.05711,0.98909,1,0.0344,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,78836.9,0.0555,0.9892,1,0.03405,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,78973.4,0.05691,0.98931,1,0.03373,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,79111.8,0.05886,0.98941,1,0.03351,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,79249.6,0.05419,0.98931,1,0.03342,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,79538.9,0.05633,0.98931,1,0.03321,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,79676.7,0.05497,0.98952,1,0.03336,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,79818,0.05405,0.98962,1,0.03307,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,79957.9,0.05191,0.98962,1,0.03285,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,80098,0.05117,0.98973,1,0.03257,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,80240.2,0.05172,0.98973,1,0.03242,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,80380.4,0.05029,0.98973,1,0.0322,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,80523.3,0.05048,0.98973,1,0.03198,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,80659.1,0.049,0.98984,1,0.032,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,80797.7,0.04929,0.98984,1,0.03162,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
